YEAR,SEASON,TAVG_C
1908,Autumn,-1.8579545454545454
1908,Spring,-2.3505747126436782
1908,Summer,11.427777777777777
1908,Winter,-12.325287356321839
1909,Autumn,-0.15609756097560976
1909,Spring,-5.484444444444445
1909,Summer,11.81195652173913
1909,Winter,-11.580246913580247
1910,Autumn,-1.7457142857142858
1910,Spring,-0.12647058823529408
1910,Summer,10.130434782608695
1910,Winter,-9.467213114754099
1911,Autumn,-1.280246913580247
1911,Spring,-2.1202247191011234
1911,Summer,11.291208791208792
1911,Winter,-11.716455696202532
1912,Autumn,-2.0726190476190474
1912,Spring,-4.035869565217391
1912,Summer,11.09010989010989
1912,Winter,-18.743529411764705
1913,Autumn,-1.4235955056179777
1913,Spring,-3.5
1913,Summer,11.353846153846154
1913,Winter,-14.859090909090908
1914,Autumn,-0.9340659340659341
1914,Spring,-3.029347826086956
1914,Summer,11.827173913043477
1914,Winter,-13.702247191011235
1915,Autumn,-3.841758241758242
1915,Spring,-5.35
1915,Summer,11.114444444444445
1915,Winter,-18.334831460674156
1916,Autumn,-1.6164835164835165
1916,Spring,-5.211956521739131
1916,Summer,11.44891304347826
1916,Winter,-11.853846153846154
1917,Autumn,-0.1804597701149426
1917,Spring,-7.232954545454546
1917,Summer,12.785714285714286
1917,Winter,-16.939285714285717
1918,Autumn,1.3241758241758241
1918,Spring,-0.4411764705882352
1918,Summer,10.857608695652173
1918,Winter,-15.595505617977528
1919,Autumn,-2.9725274725274726
1919,Spring,-3.8336956521739127
1919,Summer,12.954347826086956
1919,Winter,-15.437777777777779
1920,Autumn,0.6758241758241759
1920,Spring,1.7043478260869567
1920,Summer,12.411956521739132
1920,Winter,-11.978021978021978
1921,Autumn,-3.283516483516484
1921,Spring,0.6695652173913044
1921,Summer,11.855434782608697
1921,Winter,-15.166666666666666
1922,Autumn,-1.0527472527472528
1922,Spring,-2.490217391304348
1922,Summer,12.833695652173914
1922,Winter,-15.897777777777778
1923,Autumn,-0.4483516483516483
1923,Spring,-3.1282608695652177
1923,Summer,9.927173913043477
1923,Winter,-11.742222222222221
1924,Autumn,0.5599999999999999
1924,Spring,-3.997826086956522
1924,Summer,12.027173913043478
1924,Winter,-12.663736263736265
1925,Autumn,-3.6362637362637367
1925,Spring,-3.63695652173913
1925,Summer,12.81413043478261
1925,Winter,-10.9
1926,Autumn,-1.521978021978022
1926,Spring,-3.0582417582417585
1926,Summer,11.580434782608696
1926,Winter,-15.754545454545456
1927,Autumn,-4.571111111111111
1927,Spring,-3.526086956521739
1927,Summer,13.22391304347826
1927,Winter,-13.435555555555556
1928,Autumn,-3.1538461538461537
1928,Spring,-1.6391304347826088
1928,Summer,10.781521739130435
1928,Winter,-11.893406593406594
1929,Autumn,1.3186813186813187
1929,Spring,-4.051086956521739
1929,Summer,10.445652173913043
1929,Winter,-11.774444444444445
1930,Autumn,-0.765934065934066
1930,Spring,-2.109782608695652
1930,Summer,13.142391304347825
1930,Winter,-11.460674157303371
1931,Autumn,-0.12637362637362637
1931,Spring,-2.5195652173913046
1931,Summer,11.392391304347825
1931,Winter,-11.224444444444446
1932,Autumn,-0.6344444444444446
1932,Spring,-2.6804347826086956
1932,Summer,12.085869565217392
1932,Winter,-8.581318681318681
1933,Autumn,-1.276923076923077
1933,Spring,-4.503260869565217
1933,Summer,12.918478260869565
1933,Winter,-13.110000000000001
1934,Autumn,1.3956043956043955
1934,Spring,-1.7054347826086957
1934,Summer,12.804347826086957
